Tiempo (s), T1 (C), T2 (C), PWM_Heater1, PWM_Heater2
0.01, 24.93, 23.95, 0, 0
1.04, 24.93, 24.44, 0, 0
2.04, 24.93, 24.93, 0, 0
3.04, 24.93, 23.95, 0, 0
4.04, 24.93, 23.46, 0, 0
5.04, 24.93, 22.97, 0, 0
6.05, 24.44, 24.44, 0, 0
7.05, 24.44, 23.95, 0, 0
8.05, 24.93, 24.44, 0, 0
9.05, 24.93, 23.95, 0, 0
10.05, 24.44, 24.44, 102, 0
11.06, 24.93, 24.44, 102, 0
12.06, 24.93, 25.42, 102, 0
13.06, 24.93, 24.44, 102, 0
14.06, 24.93, 23.95, 102, 0
15.06, 24.93, 23.95, 102, 0
16.06, 24.93, 23.95, 102, 0
17.06, 25.42, 23.95, 102, 0
18.07, 25.42, 23.46, 102, 0
19.07, 24.93, 23.95, 102, 0
20.07, 25.42, 23.95, 102, 0
21.07, 25.90, 24.44, 102, 0
22.07, 25.90, 24.44, 102, 0
23.08, 26.88, 24.44, 102, 0
24.08, 26.39, 23.95, 102, 0
25.08, 26.39, 23.95, 102, 0
26.08, 26.39, 23.95, 102, 0
27.08, 26.39, 23.95, 102, 0
28.09, 26.88, 23.95, 102, 0
29.09, 26.88, 23.95, 102, 0
30.09, 27.37, 23.95, 102, 0
31.09, 27.37, 24.44, 102, 0
32.09, 27.86, 23.95, 102, 0
33.09, 27.86, 25.42, 102, 0
34.10, 27.86, 24.44, 102, 0
35.10, 28.35, 23.95, 102, 0
36.10, 28.35, 23.95, 102, 0
37.10, 28.35, 23.95, 102, 0
38.10, 28.84, 23.95, 102, 0
39.11, 28.84, 23.46, 102, 0
40.11, 28.84, 23.95, 102, 0
41.11, 29.33, 24.44, 102, 0
42.11, 29.81, 24.44, 102, 0
43.11, 29.81, 24.93, 102, 0
44.11, 30.30, 24.44, 102, 0
45.12, 30.30, 23.95, 102, 0
46.12, 30.30, 23.95, 102, 0
47.12, 30.79, 23.95, 102, 0
48.12, 30.79, 23.95, 102, 0
49.12, 30.79, 23.46, 102, 0
50.13, 31.28, 23.95, 102, 0
51.13, 31.28, 23.95, 102, 0
52.13, 31.77, 23.95, 102, 0
53.13, 31.77, 24.93, 102, 0
54.13, 32.26, 23.95, 102, 0
55.13, 32.26, 23.95, 102, 0
56.14, 32.26, 23.95, 102, 0
57.14, 32.75, 23.95, 102, 0
58.14, 32.75, 23.95, 102, 0
59.14, 32.75, 23.46, 102, 0
60.14, 32.75, 23.95, 102, 0
61.15, 33.72, 23.95, 102, 0
62.15, 33.72, 23.95, 102, 0
63.15, 34.21, 24.93, 102, 0
64.15, 34.21, 23.95, 102, 0
65.15, 34.21, 23.95, 102, 0
66.15, 34.21, 23.95, 102, 0
67.16, 34.70, 23.95, 102, 0
68.16, 34.70, 23.95, 102, 0
69.16, 34.70, 23.46, 102, 0
70.16, 34.70, 23.95, 102, 0
71.16, 35.19, 23.95, 102, 0
72.17, 35.68, 23.95, 102, 0
73.17, 35.68, 24.93, 102, 0
74.17, 36.17, 23.95, 102, 0
75.17, 36.17, 23.95, 102, 0
76.17, 36.17, 24.44, 102, 0
77.18, 36.17, 23.95, 102, 0
78.18, 36.17, 23.95, 102, 0
79.18, 36.66, 22.97, 102, 0
80.18, 36.66, 23.95, 102, 0
81.18, 37.15, 23.95, 102, 0
82.18, 37.63, 24.44, 102, 0
83.19, 37.15, 24.93, 102, 0
84.19, 37.63, 23.95, 102, 0
85.19, 37.63, 23.95, 102, 0
86.19, 38.12, 23.95, 102, 0
87.19, 38.12, 23.95, 102, 0
88.20, 38.12, 23.95, 102, 0
89.20, 38.12, 22.97, 102, 0
90.20, 38.12, 23.95, 102, 0
91.20, 38.61, 23.95, 102, 0
92.20, 39.10, 23.95, 102, 0
93.20, 39.10, 24.93, 102, 0
94.21, 39.59, 23.95, 102, 0
95.21, 39.59, 23.95, 102, 0
96.21, 39.59, 23.95, 102, 0
97.21, 39.59, 23.95, 102, 0
98.21, 39.59, 23.95, 102, 0
99.22, 40.08, 22.97, 102, 0
100.22, 40.08, 23.95, 102, 0
101.22, 40.57, 23.95, 102, 0
102.22, 41.06, 23.95, 102, 0
103.22, 42.03, 23.95, 102, 0
104.22, 41.06, 24.44, 102, 0
105.23, 41.06, 23.95, 102, 0
106.23, 41.06, 23.95, 102, 0
107.23, 41.06, 23.95, 102, 0
108.23, 40.08, 23.95, 102, 0
109.23, 41.54, 23.95, 102, 0
110.24, 42.03, 23.95, 102, 0
111.24, 42.03, 24.44, 102, 0
112.24, 42.03, 23.95, 102, 0
113.24, 42.03, 23.95, 102, 0
114.24, 42.03, 23.95, 102, 0
115.25, 42.52, 23.95, 102, 0
116.25, 42.52, 23.95, 102, 0
117.25, 43.01, 24.44, 102, 0
118.25, 43.01, 23.95, 102, 0
119.25, 43.50, 24.93, 102, 0
120.26, 43.50, 23.95, 102, 0
121.26, 43.01, 23.95, 102, 0
122.26, 43.50, 23.95, 102, 0
123.26, 43.50, 23.95, 102, 0
124.26, 43.50, 23.46, 102, 0
125.26, 43.50, 23.95, 102, 0
126.27, 43.99, 24.44, 102, 0
127.27, 44.48, 24.44, 102, 0
128.27, 44.48, 24.44, 102, 0
129.27, 44.48, 23.95, 102, 0
130.27, 44.48, 23.95, 102, 0
131.28, 44.48, 23.95, 102, 0
132.28, 44.48, 23.95, 102, 0
133.28, 44.97, 23.95, 102, 0
134.28, 44.97, 23.95, 102, 0
135.28, 45.45, 41.06, 102, 0
136.29, 46.43, 33.24, 102, 0
137.29, 45.45, 31.77, 102, 0
138.29, 45.45, 30.79, 102, 0
139.29, 45.45, 31.77, 102, 0
140.29, 45.94, 32.75, 102, 0
141.30, 44.97, 33.24, 102, 0
142.30, 46.43, 32.75, 102, 0
143.30, 46.43, 32.26, 102, 0
144.30, 46.43, 32.26, 102, 0
145.30, 46.43, 32.75, 102, 0
146.30, 46.43, 32.26, 102, 0
147.31, 46.43, 33.72, 102, 0
148.31, 46.43, 32.26, 102, 0
149.31, 46.92, 31.28, 102, 0
150.31, 46.92, 31.28, 102, 0
151.31, 47.41, 32.26, 102, 0
152.32, 47.41, 34.70, 102, 0
153.32, 47.41, 33.72, 102, 0
154.32, 47.41, 32.75, 102, 0
155.32, 47.41, 32.26, 102, 0
156.32, 47.41, 31.28, 102, 0
157.33, 46.92, 31.77, 102, 0
158.33, 47.90, 33.24, 102, 0
159.33, 47.90, 33.72, 102, 0
160.33, 48.39, 33.72, 102, 0
161.33, 48.39, 31.77, 102, 0
162.34, 47.90, 32.26, 102, 0
163.34, 48.39, 32.75, 102, 0
164.34, 48.39, 34.21, 102, 0
165.34, 48.88, 31.77, 102, 0
166.34, 48.88, 31.77, 102, 0
167.35, 48.88, 33.24, 102, 0
168.35, 48.88, 34.70, 102, 0
169.35, 49.36, 35.19, 102, 0
170.35, 48.88, 33.24, 102, 0
171.35, 48.88, 32.75, 102, 0
172.35, 48.88, 32.26, 102, 0
173.36, 49.36, 31.77, 102, 0
174.36, 49.36, 33.24, 102, 0
175.36, 49.85, 33.72, 102, 0
176.36, 50.34, 34.21, 102, 0
177.36, 50.34, 33.24, 102, 0
178.37, 49.85, 33.24, 102, 0
179.37, 49.85, 32.75, 102, 0
180.37, 49.85, 33.72, 102, 0
181.37, 50.34, 33.24, 102, 0
182.37, 50.34, 34.70, 102, 0
183.37, 50.83, 33.72, 102, 0
184.38, 50.83, 33.72, 102, 0
185.38, 50.83, 33.24, 102, 0
186.38, 50.83, 33.72, 102, 0
187.38, 50.34, 34.21, 102, 0
188.38, 50.83, 35.68, 102, 0
189.39, 50.83, 34.21, 102, 0
190.39, 50.83, 33.24, 102, 0
191.39, 51.32, 33.72, 102, 0
192.39, 51.81, 32.75, 102, 0
193.39, 52.30, 34.70, 102, 0
194.40, 51.32, 34.21, 102, 0
195.40, 51.32, 34.21, 102, 0
196.40, 51.32, 35.68, 102, 0
197.40, 51.32, 34.70, 102, 0
198.40, 50.83, 33.24, 102, 0
199.41, 51.81, 34.21, 102, 0
200.41, 52.30, 33.24, 102, 0
201.41, 52.30, 34.70, 102, 0
202.41, 52.30, 34.21, 102, 0
203.41, 52.30, 34.70, 102, 0
204.41, 51.81, 36.17, 102, 0
205.42, 52.30, 34.70, 102, 0
206.42, 51.81, 33.24, 102, 0
207.42, 52.30, 34.70, 102, 0
208.42, 52.79, 33.72, 102, 0
209.42, 52.79, 36.17, 102, 0
210.43, 52.79, 35.19, 102, 0
211.43, 52.79, 35.68, 102, 0
212.43, 52.79, 34.21, 102, 0
213.43, 52.79, 34.21, 102, 0
214.43, 52.79, 33.24, 102, 0
215.44, 53.27, 34.70, 102, 0
216.44, 53.27, 36.17, 102, 0
217.44, 53.27, 35.68, 102, 0
218.44, 53.27, 34.21, 102, 0
219.44, 53.27, 33.72, 102, 0
220.45, 53.27, 35.19, 102, 0
221.45, 53.27, 35.19, 102, 0
222.45, 53.27, 35.19, 102, 0
223.45, 53.76, 34.70, 102, 0
224.45, 53.76, 34.21, 102, 0
225.46, 53.76, 33.72, 102, 0
226.46, 54.25, 35.68, 102, 0
227.46, 53.76, 35.19, 102, 0
228.46, 53.76, 35.68, 102, 0
229.46, 53.76, 35.19, 102, 0
230.46, 53.76, 34.70, 102, 0
231.47, 53.76, 33.72, 102, 0
232.47, 54.25, 35.19, 102, 0
233.47, 54.74, 35.19, 102, 0
234.47, 55.23, 35.68, 102, 0
235.47, 54.25, 36.17, 102, 0
236.48, 54.25, 34.70, 102, 0
237.48, 54.25, 34.70, 102, 0
238.48, 54.25, 33.72, 102, 0
239.48, 54.25, 34.21, 102, 0
240.48, 54.74, 35.19, 102, 0
241.48, 55.23, 35.68, 102, 0
242.49, 55.72, 36.17, 102, 0
243.49, 54.74, 35.68, 102, 0
244.49, 54.74, 35.19, 102, 0
245.49, 54.74, 35.19, 102, 0
246.49, 54.74, 35.19, 102, 0
